Sun. 13 Mar.	 Dnipro - Shakhtar	4:1	+	+	5
Sat. 19 Mar.	 Zaporozhye - Shakhtar	-:+	-	-	0
Sat. 19 Mar.	 Chornomorets - Olexandria	1:2	+	+	3
Sat. 19 Mar.	 Stal Dnepr. - Hoverla	1:0	-	-	1
Sat. 19 Mar.	 Met. Kharkiv - Vorskla	0:3	+	-	3
Sun. 20 Mar.	 Olimpik Donetsk - Volyn Lutsk	1:1	-	+	2
Sun. 20 Mar.	 Karpaty - Dnipro	0:1	-	-	1
Sun. 20 Mar.	 Dynamo Kiev - Zorya	1:0	-	-	1
Fri. 1 Apr.	 Shakhtar - Met. Kharkiv	8:1	+	+	9
Sat. 2 Apr.	 Vorskla - Stal Dnepr.	0:0	-	-	0
Sat. 2 Apr.	 Dnipro - Zaporozhye	+:-	-	-	0
Sat. 2 Apr.	 Zorya - Karpaty	4:1	+	+	5
Sat. 2 Apr.	 Olexandria - Dynamo Kiev	0:2	-	-	2
Sun. 3 Apr.	 Volyn Lutsk - Chornomorets	1:1	-	+	2
Sun. 3 Apr.	 Hoverla - Olimpik Donetsk	0:2	-	-	2
Sat. 9 Apr.	 Met. Kharkiv - Zaporozhye	+:-	-	-	0
Sat. 9 Apr.	 Olimpik Donetsk - Vorskla	1:1	-	+	2
Sat. 9 Apr.	 Chornomorets - Hoverla	1:0	-	-	1
Sun. 10 Apr.	 Stal Dnepr. - Shakhtar	3:3	+	+	6
Sun. 10 Apr.	 Karpaty - Olexandria	2:2	+	+	4
Sun. 10 Apr.	 Zorya - Dnipro	1:2	+	+	3
Sun. 10 Apr.	 Dynamo Kiev - Volyn Lutsk	3:0	+	-	3
Fri. 15 Apr.	 Zaporozhye - Stal Dnepr.	-:+	-	-	0
Sat. 16 Apr.	 Olexandria - Zorya	2:0	-	-	2
Sat. 16 Apr.	 Dnipro - Met. Kharkiv	5:0	+	-	5
Sat. 16 Apr.	 Hoverla - Dynamo Kiev	0:2	-	-	2
Sun. 17 Apr.	 Volyn Lutsk - Karpaty	0:0	-	-	0
Sun. 17 Apr.	 Shakhtar - Olimpik Donetsk	3:0	+	-	3
Sun. 17 Apr.	 Vorskla - Chornomorets	2:0	-	-	2
Fri. 22 Apr.	 Olimpik Donetsk - Zaporozhye	+:-	-	-	0
Sat. 23 Apr.	 Stal Dnepr. - Met. Kharkiv	0:0	-	-	0
Sat. 23 Apr.	 Karpaty - Hoverla	3:0	+	-	3
Sat. 23 Apr.	 Chornomorets - Shakhtar	1:1	-	+	2
Sun. 24 Apr.	 Zorya - Volyn Lutsk	1:1	-	+	2
Sun. 24 Apr.	 Olexandria - Dnipro	0:4	+	-	4
Sun. 24 Apr.	 Dynamo Kiev - Vorskla	1:0	-	-	1
Fri. 29 Apr.	 Volyn Lutsk - Olexandria	0:0	-	-	0
Sat. 30 Apr.	 Zaporozhye - Chornomorets	-:+	-	-	0
Sat. 30 Apr.	 Hoverla - Zorya	0:4	+	-	4
Sat. 30 Apr.	 Vorskla - Karpaty	3:0	+	-	3
Sat. 30 Apr.	 Dnipro - Stal Dnepr.	2:0	-	-	2
Sat. 30 Apr.	 Met. Kharkiv - Olimpik Donetsk	1:0	-	-	1
Sun. 1 May.	 Shakhtar - Dynamo Kiev	3:0	+	-	3
Sat. 7 May.	 Dynamo Kiev - Zaporozhye	+:-	-	-	0
Sat. 7 May.	 Chornomorets - Met. Kharkiv	0:1	-	-	1
Sat. 7 May.	 Zorya - Vorskla	1:2	+	+	3
Sat. 7 May.	 Olexandria - Hoverla	2:0	-	-	2
Sat. 7 May.	 Volyn Lutsk - Dnipro	2:3	+	+	5
Sun. 8 May.	 Olimpik Donetsk - Stal Dnepr.	0:2	-	-	2
Sun. 8 May.	 Karpaty - Shakhtar	1:2	+	+	3
Sat. 14 May.	 Zaporozhye - Karpaty	-:+	-	-	0
Sat. 14 May.	 Hoverla - Volyn Lutsk	1:4	+	+	5
Sat. 14 May.	 Stal Dnepr. - Chornomorets	0:1	-	-	1
